Date,Open,Close,Adjust,Volume,Gold,MGC_Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Aud_usd,Usd_jpy,Fste,Iron_steel,Oil,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
2/17/2017,1.882362984,1.878094588,32.33,692670,1237.599976,1237.599976,18.0189991,1.067224503,19234.61914,1.248922825,0.769822955,113.3050003,7300,273.1799927,53.40000153,20.29999924,2.834000111,368.25,147.8000031,124.0749969,11.48999977,2.424999952,55.81000137,1.925947456,1.855530551,1.785113646,,0.064025952,0.085367936,0.085367936,0.029878778,78.95702306,73.99443006,70.83333333,78.95702306,,-21.875,1.047619048,0.486908245,70.67552597,,,0.008878813,14.28571429,92.85714286,138.9799636,32.89823433,26.2921098,60.54955089,VIC
2/20/2017,1.869557794,1.933583746,33.28,804050,,,,1.062665343,19251.08008,1.243394494,0.766800642,112.9110031,7299.899902,,,,,,,,,,,1.949686243,1.873159234,1.796632224,1.824028228,0.11951511,0.123783507,0.140857094,0.104575721,80.34280283,78.08452699,96.61016949,80.34280283,,-2.564102564,1.068396226,0.833370771,76.90271225,,,0.015226685,7.142857143,100,162.0805369,47.71338614,43.35075312,70.62806471,VIC
2/21/2017,1.933583746,1.982670309,34.13,1391740,1237.5,1237.5,17.98999977,1.060940385,19381.43945,1.247333765,0.768875897,113.2799988,7274.799805,277.3299866,54.06000137,20.79999924,2.563999891,369.25,150.3500061,124.5500031,11.56999969,2.427000046,56.65999985,1.977372872,1.897930221,1.818487571,1.830928803,0.166467475,0.155796483,0.211285641,0.162199078,84.98116761,81.42699783,87.5,84.98116761,,-10.89108911,1.085280374,1.403571642,78.49297301,,,0.025719827,0,100,208.5318166,56.79987906,56.64891917,69.89103969,VIC
2/22/2017,1.976267714,1.950657333,33.57,885490,1232,1232,17.94199944,1.054207325,19379.86914,1.248704433,0.767636418,113.6689987,7302.299805,272.8099976,53.59000015,20.70999908,2.592000008,371,149.1999969,125.0999985,11.73999977,2.417999983,55.84000015,2.00336198,1.921106972,1.838851965,1.836122019,0.051220761,0.125917705,0.157930681,0.153662284,82.99167812,82.77188285,64.86486486,82.99167812,,-25.74257426,1.069005848,1.788799523,71.09074992,,,0.032861183,7.142857143,92.85714286,146.3217703,39.74354695,56.64891917,63.21392225,VIC
2/23/2017,1.950657333,1.931449548,33.24,584670,1250.199951,1250.199951,18.11300087,1.055408955,19371.46094,1.245376587,0.769704401,113.4169998,7271.399902,260.6499939,54.45000076,20.15999985,2.617000103,365.5,147.8500061,125.1500015,11.71000004,2.388000011,56.58000183,2.004835115,1.936893822,1.868952529,1.840319276,0.05335496,0.110978317,0.117380912,0.138722896,68.35585586,78.77623386,52.7027027,68.35585586,,-35,1.060961313,2.057971014,70.16617199,,,0.037882022,0,85.71428571,95.11290866,30.56640794,44.36651271,61.42966974,VIC
2/24/2017,1.931449548,1.931449548,33.24,508290,1256.900024,1256.900024,18.33499908,1.05844748,19283.53906,1.25561893,0.771307409,112.6819992,7243.700195,260.3200073,53.99000168,19.79999924,2.627000093,364,144.3999939,121.6999969,11.47000027,2.316999912,55.99000168,1.984811445,1.945375524,1.905939604,1.843378294,0.05335496,0.117380912,0.138722896,0.138722896,56.75675676,69.36809691,52.7027027,56.75675676,,-35.35353535,1.064705882,2.335706868,65.63935394,0.032723502,0.016916001,0.04308071,0,78.57142857,81.0889082,30.56640794,41.96898183,54.21809842,VIC
2/27/2017,1.961328325,1.961328325,33.76,788600,1257.400024,1258.800049,18.35400009,1.055275321,19107.4707,1.239956379,0.767047644,112.1880035,7253,267.3200073,54.04999924,19.09000015,2.693000078,360.25,139.1000061,123.8499985,12.09000015,2.368999958,55.93000031,1.99065824,1.95194974,1.913241241,1.847290991,0.027744579,0.147259689,0.151528086,0.168601673,51.8018018,58.97147147,50,51.8018018,,-21.21212121,1.081176471,2.729802128,65.80345097,0.035364923,0.020605785,0.05046832,21.42857143,71.42857143,94.42815249,37.92125081,46.73236831,56.32608645,VIC
2/28/2017,1.971999317,1.920778556,33.06,1009600,1252.599976,1253.900024,18.42000008,1.058425069,19118.99023,1.243935823,0.767636418,112.7450027,7263.399902,266.7099915,54.00999832,19.30999947,2.773999929,366.75,140.6999969,125.0749969,12.92000008,2.35800004,55.59000015,1.98220931,1.952810001,1.923410692,1.850278869,-0.061891753,0.104575721,0.093904729,0.149393888,35.9886202,48.18239292,5.263157895,35.9886202,,-40.4040404,1.057579318,3.01412154,59.10537785,0.033796653,0.023243959,0.055831177,14.28571429,64.28571429,56.85884692,19.43143207,39.34187848,50.04790742,VIC
3/1/2017,1.907973365,1.907973365,32.84,651080,1248.900024,1250,18.44300079,1.056914806,19393.53906,1.237807631,0.764228046,113.0770035,7382.899902,273.9599915,53.83000183,19.47999954,2.799000025,375.75,142.6499939,124.5,12.53999996,2.463000059,55.59999847,1.983048991,1.94778883,1.912528669,1.852697627,-0.042683968,0.008536794,0.083233737,0.115246713,24.48165869,37.4240269,18.18181818,24.48165869,,-46.46464646,1.004494382,3.248993675,57.2341107,0.031161308,0.024827429,0.060291105,7.142857143,57.14285714,15.66781717,14.22379873,23.68754008,42.44896928,VIC
3/2/2017,1.903704968,1.882362984,32.4,794680,1231.900024,1232.900024,17.70499992,1.053585291,19564.80078,1.22721982,0.765755415,114.1210022,7382.399902,264.0400085,52.61000061,19.65999985,2.803999901,372.75,142.1999969,123.4499969,11.81000042,2.489000082,55.08000183,1.988750063,1.936612684,1.884475305,1.854262706,-0.049086563,0.004268397,0.061891753,0.068294349,9.148325359,23.20620142,4,9.148325359,,-61.70212766,1.002272727,3.363212199,57.25202147,0.026698471,0.025201637,0.062521068,0,50,-22.67448967,4.417404846,17.59031125,35.77364518,VIC
3/3/2017,1.897302373,1.899436572,32.69,290560,1225.5,1226.5,17.6970005,1.050972104,19469.16992,1.227475882,0.757231534,114.3420029,7374.299805,264.230011,53.33000183,19.52000046,2.826999903,374.75,141.25,124.2249985,10.96000004,2.492000103,55.90000153,1.9779306,1.924755215,1.87157983,1.855970064,-0.032012976,0.021341984,0.085367936,0.10670992,14.06060606,15.89686337,20,14.06060606,,-54.94505495,1.011363636,3.135509832,57.21425602,0.024259686,0.025013247,0.058416841,0,42.85714286,-21.21212121,9.966838441,17.59031125,38.23408891,VIC
3/6/2017,1.916510159,1.910107564,32.88,366910,1224.5,1225.5,17.72500038,1.062044621,19379.14063,1.230012298,0.759474456,113.8470001,7350.100098,262.7900085,53.20000076,19.14999962,2.901000023,372.75,139.6499939,124.0749969,11.23999977,2.493999958,56.00999832,1.941597725,1.915930496,1.890263266,1.858673382,-0.051220761,-0.023476182,0.096038928,0.100307325,19.36363636,14.19085593,34.09090909,19.36363636,,-51.13636364,0.98785872,3.02903774,56.84146777,0.022923741,0.024595346,0.056569938,0,35.71428571,-6.560565871,13.35285291,24.75959521,38.35111214,VIC
3/7/2017,1.910107564,1.91437596,32.95,238620,1215.099976,1216.099976,17.49200058,1.057921171,19344.15039,1.224289894,0.758921146,113.9169998,7339,254.1600037,53.13999939,18.39999962,2.823999882,369.5,139,123.9499969,11.44999981,2.510999918,55.91999817,1.933678097,1.910995272,1.888312448,1.86180354,-0.006402595,-0.068294349,0.098173126,0.087502134,38.26839827,23.8975469,60.71428571,38.26839827,,-58.10810811,0.96555436,2.933052742,46.95380238,0.021956319,0.024067541,0.054914566,0,28.57142857,-15.30054645,14.73420951,24.75959521,36.64103032,VIC
3/8/2017,1.91437596,1.899436572,32.69,554530,1208.5,1209.400024,17.25699997,1.057015419,19254.0293,1.220449924,0.759497464,113.9260025,7334.600098,254.1000061,50.27999878,18.39999962,2.901000023,365.25,140.0500031,124.375,11.85999966,2.552000046,53.11000061,1.929464993,1.907302188,1.885139383,1.865218257,-0.008536794,-0.051220761,0,0.074696944,43.50649351,33.71284271,35.71428571,43.50649351,,-67.56756757,0.973741794,2.511405542,39.35801342,0.019756408,0.023205314,0.047143895,14.28571429,21.42857143,-72.27880967,8.230601768,11.28585726,36.82606417,VIC
3/9/2017,1.899436572,1.886631381,32.47,271170,1202.400024,1203.199951,16.99300003,1.054741144,19318.58008,1.217730165,0.752898693,114.4110031,7315,251.5,49.27999878,18,2.973999977,359.75,138.75,126.1500015,12.30000019,2.59800005,52.18999863,1.9221031,1.90274885,1.883394601,1.868348415,0.004268397,-0.044818166,0.008536794,0.06616015,36.9047619,39.55988456,14.28571429,36.9047619,,-75.67567568,0.97679558,1.889029517,41.15377347,0.016786189,0.021921489,0.035528931,7.142857143,14.28571429,-97.45355876,2.849143408,11.28585726,38.85530383,VIC
