Date,Open,Close,Adj Close,Volume,Down-F,Sp500,Nasdaq,Russel,Gold,Silver,Eur_usd,Nikkei,Gpb_usd,Usd_jpy,Fste,Sugar,Nat_Gas,Corn-F,Coffe-F,Feeder-F,Vix,Tnx,Bzf,Upper_bb,Middle_bb,Lower_bb,Sma,Mom5,Mom10,Mom15,Mom20,Slow_k,Slow_d,Fast_k,Fast_d,Trix,William_R,Rocr,Pro,Mfi,Macd,Macd_sig,Apo,Aroon_up,Aroon_down,Cci,Cmo,Dx,Ultosc,Name
2010-02-05,28.0,28.020000457763672,21.547088623046875,80960100,9941.0,1059.75,1745.0,1745.0,1745.0,14.822999954223633,1.368007779121399,10057.08984375,1.565802812576294,89.22000122070312,5060.89990234375,26.170000076293945,5.514999866485596,351.5,128.8000030517578,98.32499694824219,26.110000610351562,3.5460000038146973,69.58999633789062,28.797193412285015,28.20885429224667,27.620515172208325,,-0.15999984741210938,-0.9399986267089844,-2.9399986267089844,-2.4300003051757812,29.256735083590694,31.728631228975903,36.8852715311304,29.256735083590694,,-87.73839908488846,0.9675414828582305,,31.481591415633115,,,,100.0,7.142857142857143,-106.81156648658308,-30.050842443055785,51.40493217146276,,MSFT
2010-02-08,28.010000228881836,27.719999313354492,21.316383361816406,52820600,9895.0,1056.0,1734.5,1734.5,1734.5,15.07800006866455,1.3654673099517822,9951.8203125,1.5576082468032837,89.22000122070312,5092.2998046875,26.600000381469727,5.401000022888184,356.0,130.64999389648438,99.2249984741211,26.510000228881836,3.5920000076293945,70.11000061035156,28.747020368652585,28.040978474706293,27.33493658076,,-0.6900005340576172,-1.6000003814697266,-3.1400012969970703,-2.940000534057617,19.048308131618608,25.68869512338055,12.29503839707832,19.048308131618608,,-95.54897385235088,0.9454297272127131,-3.534451778108928,27.111659351510912,,,-1.0499360867035712,100.0,0.0,-105.51964369512586,-34.20320031821857,51.40493217146275,,MSFT
2010-02-09,27.969999313354492,28.010000228881836,21.539398193359375,59195800,10004.0,1066.25,1752.0,1752.0,1752.0,15.430999755859375,1.378207802772522,9932.900390625,1.5693906545639038,89.76799774169922,5111.7998046875,27.06999969482422,5.289999961853027,358.5,130.39999389648438,99.9749984741211,26.0,3.632999897003174,72.12999725341797,28.550418613680826,27.92322208207439,27.296025550467952,,-0.4499988555908203,-1.489999771118164,-3.0900001525878906,-2.260000228881836,28.4152971291826,25.573446781463957,36.06558145933912,28.4152971291826,,-86.0317273859572,0.9494915331824351,-3.49231955941538,32.126255965961406,,,-1.0341026844122467,92.85714285714286,0.0,-74.81540961007437,-26.39241940545244,39.65946309043455,,MSFT
2010-02-10,28.030000686645508,27.989999771118164,21.524015426635742,48591300,9985.0,1063.25,1744.75,1744.75,1744.75,15.302000045776367,1.3753266334533691,9963.990234375,1.5612071752548218,89.93000030517578,5132.0,26.639999389648438,5.291999816894531,361.75,132.1999969482422,100.25,25.399999618530273,3.694000005722046,72.54000091552734,28.092812739153437,27.85732116759816,27.62182959604288,,-0.6399993896484375,-1.6800003051757812,-2.6000003814697266,-2.0799999237060547,31.173967854384472,26.21252437172855,45.161283706736015,31.173967854384472,,-84.0304218357244,0.9433771384949174,-3.4955843332115935,32.96907719506824,,,-1.0310898193946265,85.71428571428572,0.0,-70.09917436130881,-26.709234664556142,39.65946309043455,,MSFT
2010-02-11,27.93000030517578,28.1200008392334,21.623981475830078,65993700,10110.0,1076.5,1775.5,1775.5,1775.5,15.592000007629395,1.3681762218475342,,1.5702037811279297,89.80999755859375,5161.5,27.530000686645508,5.395999908447266,363.25,132.1999969482422,100.5,23.959999084472656,3.7330000400543213,73.05000305175781,28.114509463815082,27.846956631522957,27.579403799230832,,0.2800006866455078,-1.039999008178711,-1.8899993896484375,-2.229999542236328,49.16402312626272,36.251096036609916,66.26520421271306,49.16402312626272,,-76.59569978175065,0.964334738901893,-3.5282084655237473,40.10873590155487,,,-1.03685904771854,78.57142857142857,0.0,-57.812171301393896,-23.003347875453933,32.33269084781074,45.44769333833937,MSFT
2010-02-12,27.809999465942383,27.93000030517578,21.477876663208008,81117200,10117.0,1079.0,1783.25,1783.25,1783.25,15.449000358581543,1.363493800163269,10092.1904296875,1.5698094367980957,89.94999694824219,5142.5,26.950000762939453,5.4679999351501465,361.5,132.75,99.75,22.729999542236328,3.693000078201294,72.9000015258789,28.115657342137307,27.85135358585171,27.587049829566116,29.47999998728434,-0.09000015258789062,-0.25,-1.029998779296875,-3.029998779296875,51.60001980620074,43.979336928949294,43.37357149915318,51.60001980620074,,-84.68082757814649,0.9911284599967133,-3.663540355284617,33.71616042733533,,,-1.072628253545517,71.42857142857143,28.571428571428573,-78.59896147902687,-26.39180976008251,35.08341710310075,44.21275673767154,MSFT
2010-02-16,28.1299991607666,28.350000381469727,21.902799606323242,51935600,10241.0,1093.25,1799.25,1799.25,1799.25,16.149999618530273,1.3767088651657104,10034.25,1.579005479812622,90.24400329589844,5244.10009765625,27.360000610351562,5.309999942779541,367.25,133.4499969482422,101.125,22.25,3.6640000343322754,75.68000030517578,28.203896660184327,27.90724846351216,27.610600266839995,29.40900001525879,0.6300010681152344,-0.05999946594238281,-0.9699993133544922,-2.510000228881836,67.8471018361282,56.20371492286387,93.9025297965184,67.8471018361282,,-66.80848680723689,0.9978880863687211,-3.6282283999965492,32.65616891210969,,,-1.0593589635995713,64.28571428571429,21.42857142857143,-14.17190677670407,-14.406214462559921,21.358700057392458,52.78656225690137,MSFT
2010-02-17,28.530000686645508,28.59000015258789,22.088212966918945,45882900,10296.0,1099.5,1811.75,1811.75,1811.75,16.097999572753906,1.3606922626495361,10306.830078125,1.5682092905044556,91.05000305175781,5276.60009765625,26.1200008392334,5.386000156402588,360.0,132.25,101.57499694824219,21.719999313354492,3.742000102996826,76.2699966430664,28.512745010659668,28.024548294476403,27.53635157829314,29.33033332824707,0.5799999237060547,0.13000106811523438,-0.9099998474121094,-2.510000228881836,77.22289099092802,65.5566708777523,94.39257167711253,77.22289099092802,,-56.59573224725403,1.0045678521538028,-3.2473880045370573,31.38242964086635,,,-0.9455769367707099,57.142857142857146,14.285714285714286,63.35290456753963,-8.098027069597347,10.443796740687041,52.756210721402674,MSFT
2010-02-18,28.59000015258789,28.969999313354492,22.38179588317871,42856500,10375.0,1105.5,1820.75,1820.75,1820.75,16.059999465942383,1.3461486101150513,10335.6904296875,1.5423054695129395,91.97699737548828,5325.10009765625,26.469999313354492,5.171999931335449,357.25,134.10000610351562,102.4749984741211,20.6299991607666,3.802999973297119,77.77999877929688,28.941696948286395,28.213697774608235,27.485698600930075,29.26400000254313,0.9799995422363281,0.3400001525878906,-0.7000007629394531,-1.6200008392333984,94.71902596890222,79.92967293198613,95.86197643307577,94.71902596890222,,-40.425557818220774,1.0118756605852024,-2.9204211701648286,38.191565042211316,,,-0.8489102705931053,50.0,7.142857142857143,160.16183670592042,1.1917378608243518,2.3874275938796603,59.08914336622091,MSFT
2010-02-19,28.790000915527344,28.770000457763672,22.227283477783203,44451800,10378.0,1106.25,1819.25,1819.25,1819.25,16.413000106811523,1.3615074157714844,10123.580078125,1.5464078187942505,91.54000091552734,5358.2001953125,26.799999237060547,5.044000148773193,360.0,134.75,102.5999984741211,20.020000457763672,3.7820000648498535,78.19000244140625,29.124758353469073,28.40538132296824,27.686004292467405,29.197333335876465,0.6499996185302734,0.9300003051757812,-0.3899993896484375,-1.239999771118164,90.77450242572134,87.57213979518383,82.06895916697579,90.77450242572134,,-17.808222757266538,1.0334051831924769,-2.6641215919152117,44.956886542295855,-0.5883090889019549,-0.8657233286451663,-0.7730768521626779,42.85714285714286,0.0,137.0403565501222,-3.5083527863048913,2.3874275938796576,61.425143637004865,MSFT
